Source MAC,Destination MAC,Protocol,Service,Source Address,Destination Address,Sequence Number,Acknowledgement Number,SYN Bit,ACK Bit,FIN Bit,Src Bytes,Time Stamp,Duration
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3289266,1.4104537963867188
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.3290946,1.4106218814849854
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.329217,1.4107441902160645
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.3293352,1.4108624458312988
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3294551,1.410982370376587
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.3295608,1.411087989807129
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3296645,1.411191701889038
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.3299465,1.4114737510681152
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3300714,1.4115986824035645
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.330175,1.4117021560668945
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3302903,1.4118175506591797
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.330394,1.4119212627410889
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.330499,1.4120261669158936
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.3306015,1.4121286869049072
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3307035,1.4122307300567627
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.330833,1.4123601913452148
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3309526,1.4124798774719238
00:0C:29:CD:C9:16,00:0C:29:92:7B:E5,1,66,192.168.2.136,192.168.2.137,n,n,n,n,n,0,1528658876.3310542,1.412581443786621
00:0C:29:92:7B:E5,00:0C:29:CD:C9:16,1,66,192.168.2.137,192.168.2.136,n,n,n,n,n,0,1528658876.3311546,1.4126818180084229
